date,vlog,blog,isPartial
2015-05-24,0,99,False
2015-05-31,0,100,False
2015-06-07,0,97,False
2015-06-14,0,89,False
2015-06-21,0,90,False
2015-06-28,0,92,False
2015-07-05,0,92,False
2015-07-12,0,82,False
2015-07-19,0,84,False
2015-07-26,0,85,False
2015-08-02,0,86,False
2015-08-09,0,88,False
2015-08-16,0,84,False
2015-08-23,0,87,False
2015-08-30,0,88,False
2015-09-06,0,88,False
2015-09-13,0,87,False
2015-09-20,0,88,False
2015-09-27,0,88,False
2015-10-04,0,84,False
2015-10-11,0,88,False
2015-10-18,0,88,False
2015-10-25,0,91,False
2015-11-01,0,88,False
2015-11-08,0,87,False
2015-11-15,0,87,False
2015-11-22,0,84,False
2015-11-29,1,84,False
2015-12-06,1,78,False
2015-12-13,0,83,False
2015-12-20,1,84,False
2015-12-27,1,81,False
2016-01-03,1,85,False
2016-01-10,1,83,False
2016-01-17,0,96,False
2016-01-24,1,85,False
2016-01-31,1,85,False
2016-02-07,0,81,False
2016-02-14,1,84,False
2016-02-21,1,83,False
2016-02-28,1,86,False
2016-03-06,1,79,False
2016-03-13,1,81,False
2016-03-20,1,82,False
2016-03-27,2,81,False
2016-04-03,2,73,False
2016-04-10,3,74,False
2016-04-17,7,77,False
2016-04-24,3,73,False
2016-05-01,4,72,False
2016-05-08,4,71,False
2016-05-15,4,69,False
2016-05-22,5,70,False
2016-05-29,6,70,False
2016-06-05,5,67,False
2016-06-12,6,65,False
2016-06-19,6,63,False
2016-06-26,7,58,False
2016-07-03,6,54,False
2016-07-10,6,56,False
2016-07-17,7,60,False
2016-07-24,10,62,False
2016-07-31,6,60,False
2016-08-07,6,57,False
2016-08-14,7,57,False
2016-08-21,6,62,False
2016-08-28,5,64,False
2016-09-04,5,63,False
2016-09-11,5,59,False
2016-09-18,10,65,False
2016-09-25,7,65,False
2016-10-02,7,63,False
2016-10-09,7,66,False
2016-10-16,8,63,False
2016-10-23,8,64,False
2016-10-30,6,61,False
2016-11-06,5,62,False
2016-11-13,5,63,False
2016-11-20,6,63,False
2016-11-27,5,60,False
2016-12-04,6,55,False
2016-12-11,6,57,False
2016-12-18,6,53,False
2016-12-25,7,55,False
2017-01-01,7,58,False
2017-01-08,6,59,False
2017-01-15,6,59,False
2017-01-22,7,56,False
2017-01-29,6,55,False
2017-02-05,7,58,False
2017-02-12,6,53,False
2017-02-19,6,57,False
2017-02-26,10,55,False
2017-03-05,9,60,False
2017-03-12,8,54,False
2017-03-19,6,49,False
2017-03-26,7,55,False
2017-04-02,6,54,False
2017-04-09,6,53,False
2017-04-16,6,49,False
2017-04-23,6,50,False
2017-04-30,6,49,False
2017-05-07,5,47,False
2017-05-14,6,44,False
2017-05-21,6,42,False
2017-05-28,7,42,False
2017-06-04,7,40,False
2017-06-11,6,40,False
2017-06-18,7,36,False
2017-06-25,6,36,False
2017-07-02,10,38,False
2017-07-09,9,39,False
2017-07-16,7,38,False
2017-07-23,6,38,False
2017-07-30,6,41,False
2017-08-06,7,43,False
2017-08-13,7,40,False
2017-08-20,5,39,False
2017-08-27,5,37,False
2017-09-03,5,39,False
2017-09-10,5,41,False
2017-09-17,6,39,False
2017-09-24,4,41,False
2017-10-01,6,40,False
2017-10-08,6,39,False
2017-10-15,6,41,False
2017-10-22,6,42,False
2017-10-29,5,40,False
2017-11-05,6,40,False
2017-11-12,7,40,False
2017-11-19,5,38,False
2017-11-26,6,40,False
2017-12-03,6,39,False
2017-12-10,7,36,False
2017-12-17,6,36,False
2017-12-24,6,37,False
2017-12-31,7,38,False
2018-01-07,6,43,False
2018-01-14,5,39,False
2018-01-21,5,37,False
2018-01-28,5,39,False
2018-02-04,5,38,False
2018-02-11,5,35,False
2018-02-18,5,39,False
2018-02-25,5,38,False
2018-03-04,5,39,False
2018-03-11,5,36,False
2018-03-18,5,34,False
2018-03-25,5,34,False
2018-04-01,5,32,False
2018-04-08,5,31,False
2018-04-15,6,31,False
2018-04-22,6,30,False
2018-04-29,6,29,False
2018-05-06,6,31,False
2018-05-13,6,30,False
2018-05-20,6,30,False
2018-05-27,7,30,False
2018-06-03,6,26,False
2018-06-10,7,25,False
2018-06-17,6,22,False
2018-06-24,6,24,False
2018-07-01,6,24,False
2018-07-08,7,26,False
2018-07-15,6,27,False
2018-07-22,6,28,False
2018-07-29,6,29,False
2018-08-05,7,30,False
2018-08-12,6,29,False
2018-08-19,7,29,False
2018-08-26,6,32,False
2018-09-02,6,30,False
2018-09-09,6,30,False
2018-09-16,6,30,False
2018-09-23,7,31,False
2018-09-30,5,29,False
2018-10-07,6,29,False
2018-10-14,7,32,False
2018-10-21,6,31,False
2018-10-28,7,29,False
2018-11-04,7,33,False
2018-11-11,7,30,False
2018-11-18,8,29,False
2018-11-25,8,29,False
2018-12-02,8,29,False
2018-12-09,8,28,False
2018-12-16,9,27,False
2018-12-23,8,26,False
2018-12-30,9,29,False
2019-01-06,10,29,False
2019-01-13,10,30,False
2019-01-20,12,30,False
2019-01-27,11,28,False
2019-02-03,11,26,False
2019-02-10,11,27,False
2019-02-17,11,27,False
2019-02-24,10,27,False
2019-03-03,9,26,False
2019-03-10,10,26,False
2019-03-17,11,27,False
2019-03-24,10,26,False
2019-03-31,12,26,False
2019-04-07,10,26,False
2019-04-14,10,21,False
2019-04-21,10,23,False
2019-04-28,9,24,False
2019-05-05,8,23,False
2019-05-12,9,23,False
2019-05-19,10,23,False
2019-05-26,8,21,False
2019-06-02,10,19,False
2019-06-09,13,21,False
2019-06-16,10,23,False
2019-06-23,12,31,False
2019-06-30,12,26,False
2019-07-07,11,25,False
2019-07-14,10,24,False
2019-07-21,9,23,False
2019-07-28,9,25,False
2019-08-04,8,22,False
2019-08-11,9,23,False
2019-08-18,8,24,False
2019-08-25,9,25,False
2019-09-01,8,25,False
2019-09-08,9,27,False
2019-09-15,8,25,False
2019-09-22,8,25,False
2019-09-29,8,24,False
2019-10-06,9,24,False
2019-10-13,7,25,False
2019-10-20,8,23,False
2019-10-27,8,23,False
2019-11-03,8,21,False
2019-11-10,8,23,False
2019-11-17,8,24,False
2019-11-24,7,21,False
2019-12-01,7,22,False
2019-12-08,8,21,False
2019-12-15,8,22,False
2019-12-22,8,18,False
2019-12-29,8,18,False
2020-01-05,8,22,False
2020-01-12,8,23,False
2020-01-19,7,21,False
2020-01-26,8,22,False
2020-02-02,7,22,False
2020-02-09,7,21,False
2020-02-16,7,21,False
2020-02-23,7,22,False
2020-03-01,7,21,False
2020-03-08,7,21,False
2020-03-15,6,20,False
2020-03-22,6,21,False
2020-03-29,8,21,False
2020-04-05,8,22,False
2020-04-12,8,22,False
2020-04-19,8,20,False
2020-04-26,8,23,False
2020-05-03,9,23,False
2020-05-10,10,22,False
2020-05-17,9,20,True
